TotalSteps,TotalDistance,Calories,TotalMinutesActive,TotalMinutesAsleep
19769,15.67000008,3331,289,74
7626,6.050000191,3635,236,338
12386,9.819999695,4079,299,447
13318,10.56000042,4163,318,424
14461,11.47000027,3666,273,513
11207,8.890000343,3363,227,611
2132,1.690000057,2572,93,525
13630,10.81000042,4157,301,398
13070,10.35999966,4092,293,387
9388,7.440000057,3787,259,381
15148,12.01000023,4236,298,396
12200,9.670000076,4044,284,441
5709,4.53000021,2908,165,565
3703,2.940000057,2741,135,458
12405,9.840000153,4005,274,388
12405,9.840000153,4005,274,388
16208,12.85000038,3763,269,550
7359,5.840000153,3061,200,531
5417,4.300000191,2884,160,506
6175,4.900000095,2982,182,527
2946,2.339999914,2660,121,468
11419,9.06000042,3369,208,475
6064,4.809999943,3491,209,351
8712,6.909999847,3784,286,405
7875,6.239999771,3110,196,441
8567,6.789999962,3783,283,381
7045,5.590000153,3644,245,323
4468,3.539999962,2799,158,459
2943,2.329999924,2685,139,545
8382,6.650000095,3721,255,359
6582,5.21999979,3586,228,342
9143,7.25,3788,266,368
4561,3.619999886,1976,116,496
2564,1.639999986,2044,116,458
1320,0.839999974,1934,82,531
1219,0.779999971,1963,84,486
2483,1.590000033,2009,126,363
3147,2.00999999,2188,149,528
4068,2.599999905,2419,216,391
5245,3.359999895,2748,285,339
1758,1.129999995,2067,112,423
6157,3.940000057,2780,310,402
8360,5.349999905,3101,400,398
7174,4.590000153,2896,331,343
1619,1.039999962,1962,79,503
1831,1.169999957,2015,101,415
2421,1.549999952,2297,156,516
2283,1.460000038,2067,129,439
